المواطنة,المؤشر,الدولة,الجنس,Year,Value,Source,المرحلة التعليمية,القطاع
مجموع المواطنين وغير المواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال,ذكور,2010,1,a,,
مجموع المواطنين وغير المواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال, إناث,2010,1,a,,
مجموع المواطنين وغير المواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال,كلا الجنسين,2010,1,a,,
مواطنون,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال,ذكور,2010,1,a,,
مواطنون,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال, إناث,2010,1,a,,
مواطنون,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال,كلا الجنسين,2010,1,a,,
غير مواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال,ذكور,2010,1,a,,
غير مواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال, إناث,2010,1,a,,
غير مواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال,كلا الجنسين,2010,1,a,,
مجموع المواطنين وغير المواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال,ذكور,2011,,,,
مجموع المواطنين وغير المواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال, إناث,2011,,,,
مجموع المواطنين وغير المواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال,كلا الجنسين,2011,,,,
مواطنون,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال,ذكور,2011,,,,
مواطنون,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال, إناث,2011,,,,
مواطنون,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال,كلا الجنسين,2011,,,,
غير مواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال,ذكور,2011,,,,
غير مواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال, إناث,2011,,,,
غير مواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال,كلا الجنسين,2011,,,,
مجموع المواطنين وغير المواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال,ذكور,2012,,,,
مجموع المواطنين وغير المواطنين,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (الأساسي) (نسبة مئوية),الصومال, إناث,2012,,,,
